,CD8,CD8_training,CD8_test,CD8_binary_training,CD8_binary_test,MCH
A048069001,0.575063685052758,0.575063685052758,NA,1,NA,0.203674852652108
A048069049,-0.606818105522709,-0.606818105522709,NA,0,NA,NA
A048069514,NA,NA,NA,NA,NA,NA
A048070376,0.412269578252236,NA,0.412269578252236,NA,1,NA
A048071106,-1.37838287973985,-1.37838287973985,NA,0,NA,-0.949423892669249
A048071579,NA,NA,NA,NA,NA,0.139265303657148
A048072087,-0.594044620289919,-0.594044620289919,NA,0,NA,NA
A048072266,NA,NA,NA,NA,NA,NA
A048072521,0.790770351426836,NA,0.790770351426836,NA,1,0.0404661177951859
A048072595,-0.296737838259898,-0.296737838259898,NA,0,NA,-0.713855630899687
A048073291,0.185047869605545,0.185047869605545,NA,1,NA,1.24113207561995
A048073606,0.545941161561936,0.545941161561936,NA,1,NA,NA
A048073633,NA,NA,NA,NA,NA,NA
A048074553,0.935277339966879,NA,0.935277339966879,NA,1,NA
A048075265,0.0293370917560526,0.0293370917560526,NA,1,NA,-1.3754649599957
A048075614,-0.385320466407568,-0.385320466407568,NA,0,NA,NA
A048076630,2.11123901361668,2.11123901361668,NA,1,NA,-1.4809961668423
A048076855,1.54943745525564,1.54943745525564,NA,1,NA,-0.503579413578729
A048077032,NA,NA,NA,NA,NA,NA
A048078862,0.0863280088268743,0.0863280088268743,NA,1,NA,-0.877196812994123
A048079075,0.479033363822227,0.479033363822227,NA,1,NA,1.6178440870088
A048079842,NA,NA,NA,NA,NA,NA
A048080339,NA,NA,NA,NA,NA,NA
A048080582,0.156185856468362,0.156185856468362,NA,1,NA,0.671505221614263
A048081308,NA,NA,NA,NA,NA,1.82685536421591
A048081321,NA,NA,NA,NA,NA,NA
A048082329,NA,NA,NA,NA,NA,NA
A048082363,1.27151329901573,1.27151329901573,NA,1,NA,NA
A048082370,-1.25181221564566,-1.25181221564566,NA,0,NA,NA
A048083047,0.499069396253076,0.499069396253076,NA,1,NA,0.5770228042602
A048083517,NA,NA,NA,NA,NA,NA
A048083604,NA,NA,NA,NA,NA,NA
A048084065,-0.615388972359859,-0.615388972359859,NA,0,NA,NA
A048084549,0.243263318667295,0.243263318667295,NA,1,NA,-0.879530092790426
A048084845,1.22879430803663,1.22879430803663,NA,1,NA,NA
A048084850,NA,NA,NA,NA,NA,NA
A048085283,0.860775498251276,0.860775498251276,NA,1,NA,NA
A048085379,0.00444439100480388,0.00444439100480388,NA,1,NA,-0.260726021752362
A048086093,0.812836061919408,0.812836061919408,NA,1,NA,-0.703658341015091
A048086277,1.46634915137533,NA,1.46634915137533,NA,1,0.357274823344618
A048086633,-1.29995316639841,-1.29995316639841,NA,0,NA,NA
A048086793,0.0328943163402436,0.0328943163402436,NA,1,NA,0.277175215360498
A048086841,NA,NA,NA,NA,NA,NA
A048086882,0.661158552908103,0.661158552908103,NA,1,NA,NA
A048087831,NA,NA,NA,NA,NA,1.74121687931408
A048088520,NA,NA,NA,NA,NA,-0.381052143715619
A048089538,-1.09283082439296,-1.09283082439296,NA,0,NA,NA
A048090850,NA,NA,NA,NA,NA,NA
A048092264,NA,NA,NA,NA,NA,NA
A048092534,0.674489750196082,0.674489750196082,NA,1,NA,0.628392520756262
A048092536,NA,NA,NA,NA,NA,NA
A048093042,0.25242934564259,NA,0.25242934564259,NA,1,0.0993176362444655
A048093342,0.868526113734031,0.868526113734031,NA,1,NA,-0.268941522270852
A048093528,-0.924321121710619,-0.924321121710619,NA,0,NA,-1.18805909975966
A048093590,NA,NA,NA,NA,NA,NA
A048094060,NA,NA,NA,NA,NA,NA
A048094368,-0.206794677862896,-0.206794677862896,NA,0,NA,NA
A048094867,NA,NA,NA,NA,NA,1.03507708874278
A048096119,-0.53770584716421,-0.53770584716421,NA,0,NA,0.202055395632076
A048096523,NA,NA,NA,NA,NA,NA
A048097274,NA,NA,NA,NA,NA,NA
A048098560,NA,NA,NA,NA,NA,NA
A048098608,NA,NA,NA,NA,NA,NA
A048098790,0.381493788489364,NA,0.381493788489364,NA,1,NA
A048098815,0.927049740742277,0.927049740742277,NA,1,NA,-0.630326462869054
A048100854,NA,NA,NA,NA,NA,NA
A048101022,0.324723865089093,0.324723865089093,NA,1,NA,0.751201087944048
A048101354,NA,NA,NA,NA,NA,NA
A048101850,-1.15639963580589,NA,-1.15639963580589,NA,0,NA
A048102058,NA,NA,NA,NA,NA,NA
A048102062,0.845427240848242,0.845427240848242,NA,1,NA,-0.259085048956089
A048102284,-0.147194219080625,-0.147194219080625,NA,0,NA,-0.232920956756853
A048102298,-1.11572700581155,NA,-1.11572700581155,NA,0,NA
A048102326,-0.699247831676569,NA,-0.699247831676569,NA,0,NA
A048102344,NA,NA,NA,NA,NA,NA
A048102371,-1.31246970256751,-1.31246970256751,NA,0,NA,NA
A048102636,0.387235919851835,0.387235919851835,NA,1,NA,-0.272232780684852
A048103552,1.7837267016111,NA,1.7837267016111,NA,1,1.24801567615865
A048104055,NA,NA,NA,NA,NA,NA
A048104802,0.497056886850885,0.497056886850885,NA,1,NA,NA
A048105840,-2.24415088299166,-2.24415088299166,NA,0,NA,NA
A048106824,NA,NA,NA,NA,NA,1.9084807107948
A048107106,0.0684969211073424,0.0684969211073424,NA,1,NA,-1.05148046970228
A048107550,0.0934678184619544,0.0934678184619544,NA,1,NA,NA
A048108281,-0.840355271597192,-0.840355271597192,NA,0,NA,-1.9084807107948
A048108327,1.29172065810249,1.29172065810249,NA,1,NA,NA
A048109049,-1.82915837217012,NA,-1.82915837217012,NA,0,NA
A048109836,0.263456715278334,NA,0.263456715278334,NA,1,NA
A048111053,NA,NA,NA,NA,NA,NA
A048111353,-0.949132569255959,NA,-0.949132569255959,NA,0,NA
A048111516,1.95693926078724,NA,1.95693926078724,NA,1,-1.11420821162983
A048111540,NA,NA,NA,NA,NA,-0.780987024016542
A048111820,NA,NA,NA,NA,NA,NA
A048111832,NA,NA,NA,NA,NA,NA
A048111851,-0.577162351370732,-0.577162351370732,NA,0,NA,-2.06834498028769
A048112845,0.519307822428187,0.519307822428187,NA,1,NA,-0.439738406786414
A048113040,NA,NA,NA,NA,NA,0.121664717493929
A048113527,-0.832787582799331,-0.832787582799331,NA,0,NA,0.295356553332219
A048114022,0.475049386064068,0.475049386064068,NA,1,NA,2.35838935699688
A048114639,0.221346437026021,0.221346437026021,NA,1,NA,-1.15034938037601
A048114787,1.59851199519026,1.59851199519026,NA,1,NA,0.715903992684465
A048114796,0.694714813726877,0.694714813726877,NA,1,NA,NA
A048114828,NA,NA,NA,NA,NA,NA
A048114848,NA,NA,NA,NA,NA,NA
A048115324,-1.10912586907152,-1.10912586907152,NA,0,NA,NA
A048115577,-0.123869705462563,-0.123869705462563,NA,0,NA,-0.441486601176367
A048115586,NA,NA,NA,NA,NA,NA
A048115835,-0.873722300137694,-0.873722300137694,NA,0,NA,NA
A048115873,-0.243263318667295,NA,-0.243263318667295,NA,0,NA
A048117617,-0.863353272680358,-0.863353272680358,NA,0,NA,NA
A048117780,1.16687114238898,1.16687114238898,NA,1,NA,NA
A048117807,NA,NA,NA,NA,NA,NA
A048117876,0.643564069329593,0.643564069329593,NA,1,NA,-0.393021235108457
A048118000,0.335988640481819,0.335988640481819,NA,1,NA,0.496388619041777
A048118372,-0.345408571630074,NA,-0.345408571630074,NA,0,1.58357204698067
A048118531,NA,NA,NA,NA,NA,NA
A048119797,-0.0382309478634396,-0.0382309478634396,NA,0,NA,-1.26548868343174
A048120035,-0.585582623357244,-0.585582623357244,NA,0,NA,NA
A048120064,0.82277088245074,0.82277088245074,NA,1,NA,-1.30164439910244
A048120298,-0.156185856468362,NA,-0.156185856468362,NA,0,-0.469646502672783
A048122076,NA,NA,NA,NA,NA,NA
A048122316,-0.332229046784767,NA,-0.332229046784767,NA,0,1.34348826284886
A048122322,0.400684420879579,NA,0.400684420879579,NA,1,0.171381181776453
A048122545,-0.878942185145828,-0.878942185145828,NA,0,NA,0.288734172379992
A048122784,-0.377672688839601,-0.377672688839601,NA,0,NA,-0.00396619437732289
A048123293,NA,NA,NA,NA,NA,NA
A048123376,0.837827378889877,NA,0.837827378889877,NA,1,NA
A048123560,NA,NA,NA,NA,NA,1.35531739346046
A048124637,NA,NA,NA,NA,NA,NA
A048125004,-1.21009840600905,NA,-1.21009840600905,NA,0,NA
A048125017,NA,NA,NA,NA,NA,NA
A048126293,NA,NA,NA,NA,NA,NA
A048126565,-1.69502371561785,-1.69502371561785,NA,0,NA,-0.494594938210807
A048127320,1.22126469638322,1.22126469638322,NA,1,NA,-1.54580404960921
A048127592,NA,NA,NA,NA,NA,1.92846375496468
A048127848,NA,NA,NA,NA,NA,NA
A048127849,NA,NA,NA,NA,NA,NA
A048256056,NA,NA,NA,NA,NA,NA
A048256284,-0.00444439100480388,NA,-0.00444439100480388,NA,0,0.142469890353205
A048256776,1.10912586907152,1.10912586907152,NA,1,NA,-0.872544519049278
A048257316,-0.619691378443918,NA,-0.619691378443918,NA,0,0.105696969577897
A048258376,NA,NA,NA,NA,NA,NA
A048258620,NA,NA,NA,NA,NA,-0.425800579613019
A048258834,-0.226815287358628,-0.226815287358628,NA,0,NA,0.501779286878141
A048258842,NA,NA,NA,NA,NA,NA
A048261002,-0.383406425648118,-0.383406425648118,NA,0,NA,-0.41886273113622
A048261040,0.769083114291206,NA,0.769083114291206,NA,1,NA
A048261072,NA,NA,NA,NA,NA,NA
A048261259,0.743057599805412,0.743057599805412,NA,1,NA,-1.6667223820162
A048263034,NA,NA,NA,NA,NA,NA
A048263310,0.28190783140349,0.28190783140349,NA,1,NA,1.87986424254028
A048268784,-0.267139569616614,NA,-0.267139569616614,NA,0,NA
A048271860,0.613242038487307,0.613242038487307,NA,1,NA,-0.252528081481401
A048272018,2.40185760422012,NA,2.40185760422012,NA,1,0.335375599284872
A048272323,1.38763497090394,NA,1.38763497090394,NA,1,-1.32418070318997
A048272331,0.27451621636141,0.27451621636141,NA,1,NA,0.318639363964375
A048272340,NA,NA,NA,NA,NA,NA
A048272564,NA,NA,NA,NA,NA,-0.663575526598792
A048272639,-1.05176408321198,NA,-1.05176408321198,NA,0,NA
A048273042,NA,NA,NA,NA,NA,NA
A048273083,1.42588787729644,1.42588787729644,NA,1,NA,NA
A048273303,NA,NA,NA,NA,NA,NA
A048273349,NA,NA,NA,NA,NA,NA
A048273353,0.0970394880754583,0.0970394880754583,NA,1,NA,1.44401705761878
A048273584,NA,NA,NA,NA,NA,NA
A048273604,NA,NA,NA,NA,NA,-0.226405467411679
A048273784,NA,NA,NA,NA,NA,NA
A048273786,NA,NA,NA,NA,NA,2.17344507494019
A048274015,NA,NA,NA,NA,NA,NA
A048274037,NA,NA,NA,NA,NA,NA
A048274070,0.858203430955709,0.858203430955709,NA,1,NA,-0.0770200497660372
A048274102,0.208611191745107,0.208611191745107,NA,1,NA,NA
A048274362,-0.88945450143582,-0.88945450143582,NA,0,NA,0.211780245186522
A048274606,NA,NA,NA,NA,NA,NA
A048274859,-1.14948849056716,-1.14948849056716,NA,0,NA,-1.10247973342668
A048275273,1.0153708603233,1.0153708603233,NA,1,NA,NA
A048275274,-0.960349325934712,NA,-0.960349325934712,NA,0,-2.31003753878221
A048275570,1.28763703694728,1.28763703694728,NA,1,NA,0.129659984427357
A048275888,NA,NA,NA,NA,NA,NA
A048276530,NA,NA,NA,NA,NA,NA
A048276532,0.140009502709268,0.140009502709268,NA,1,NA,-0.308640595521462
A048276563,NA,NA,NA,NA,NA,0.528956764167857
A048276590,-0.373857095588792,-0.373857095588792,NA,0,NA,-2.24631959547872
A048276812,NA,NA,NA,NA,NA,NA
A048276871,0.26898235329978,NA,0.26898235329978,NA,1,-0.396451267259291
A048277066,NA,NA,NA,NA,NA,NA
A048277613,NA,NA,NA,NA,NA,NA
A048277802,NA,NA,NA,NA,NA,NA
A048277878,NA,NA,NA,NA,NA,NA
A048277888,NA,NA,NA,NA,NA,NA
A048278035,0.059589891466461,NA,0.059589891466461,NA,1,0.228033428115542
A048278066,NA,NA,NA,NA,NA,NA
A048278086,0.79564030167399,NA,0.79564030167399,NA,1,0.512604723930032
A048278103,0.533601859774569,0.533601859774569,NA,1,NA,-0.80050594325823
A048278380,-1.14263181760099,-1.14263181760099,NA,0,NA,0.471418689447612
A048278795,0.71293411952377,0.71293411952377,NA,1,NA,-0.370836258218981
A048278815,0.678960136315761,0.678960136315761,NA,1,NA,NA
A048279009,NA,NA,NA,NA,NA,NA
A048279079,-0.837827378889877,NA,-0.837827378889877,NA,0,-0.387884828705363
A048279086,NA,NA,NA,NA,NA,NA
A048279094,-0.230464949821077,-0.230464949821077,NA,0,NA,0.283775699236056
A048280355,NA,NA,NA,NA,NA,NA
A048280359,NA,NA,NA,NA,NA,-0.43624603929284
A048280365,NA,NA,NA,NA,NA,NA
A048280513,2.60379241068431,2.60379241068431,NA,1,NA,-1.36733927260955
A048280561,NA,NA,NA,NA,NA,NA
A048280877,NA,NA,NA,NA,NA,NA
A048281301,1.51494144264651,1.51494144264651,NA,1,NA,-0.427538235790621
A048281589,-0.90809167738341,-0.90809167738341,NA,0,NA,0.82925164745744
A048281772,NA,NA,NA,NA,NA,0.0325284441055664
A048281893,NA,NA,NA,NA,NA,NA
A048282019,NA,NA,NA,NA,NA,NA
A048282069,-0.163388234445691,-0.163388234445691,NA,0,NA,NA
A048282323,0.107762113132544,0.107762113132544,NA,1,NA,-2.01723604606248
A048282361,-0.32097814859315,-0.32097814859315,NA,0,NA,NA
A048282364,NA,NA,NA,NA,NA,NA
A048282532,-0.47306022507565,-0.47306022507565,NA,0,NA,NA
A048283332,-0.539761237693796,NA,-0.539761237693796,NA,0,NA
A048283353,-0.986040019197713,-0.986040019197713,NA,0,NA,NA
A048283514,-0.328474143153103,-0.328474143153103,NA,0,NA,NA
A048283521,NA,NA,NA,NA,NA,NA
A048283599,0.798082364033027,0.798082364033027,NA,1,NA,NA
A048283621,-1.2250208206326,-1.2250208206326,NA,0,NA,NA
A048283853,-0.654536906960122,-0.654536906960122,NA,0,NA,1.39199454236033
A048284577,-1.46115965826644,-1.46115965826644,NA,0,NA,0.391307953973652
A048285264,NA,NA,NA,NA,NA,NA
A048285543,1.33813920153919,1.33813920153919,NA,1,NA,-0.190733773205548
A048285627,0.757189783296866,0.757189783296866,NA,1,NA,1.28697998103729
A048285875,1.21752572372142,NA,1.21752572372142,NA,1,-0.547293345034151
A048286078,NA,NA,NA,NA,NA,NA
A048286335,0.261616630377231,0.261616630377231,NA,1,NA,NA
A048286571,0.309767735801257,NA,0.309767735801257,NA,1,NA
A048286851,0.7595598429071,0.7595598429071,NA,1,NA,0.0563496192675113
A048287013,0.457213312723259,0.457213312723259,NA,1,NA,NA
A048287563,-1.63125331642894,-1.63125331642894,NA,0,NA,NA
A048287619,1.18461371269513,1.18461371269513,NA,1,NA,-1.23091560538645
A048287855,-0.120287609350098,-0.120287609350098,NA,0,NA,NA
A048288313,-1.83871275192706,NA,-1.83871275192706,NA,0,NA
A048288364,0.0809760580055014,0.0809760580055014,NA,1,NA,-1.34741037413083
A048292804,0.604682360331493,NA,0.604682360331493,NA,1,0.168162176158634
A048292860,0.21952496512786,0.21952496512786,NA,1,NA,0.905520181034705
A048296850,0.485023642915586,0.485023642915586,NA,1,NA,-1.29062009901583
A048297050,0.781086242107176,0.781086242107176,NA,1,NA,-0.403325396917772
A048297770,-0.188665988657028,-0.188665988657028,NA,0,NA,0.863296107967282
A048299053,2.24415088299166,2.24415088299166,NA,1,NA,-2.35838935699688
A048299526,1.10584335435764,NA,1.10584335435764,NA,1,NA
A048300274,-2.31583323410038,-2.31583323410038,NA,0,NA,1.2514797596203
A048300286,-1.84843799078707,-1.84843799078707,NA,0,NA,NA
A048300546,NA,NA,NA,NA,NA,NA
A048301370,NA,NA,NA,NA,NA,-1.12013032926538
A048301565,0.60254936978898,0.60254936978898,NA,1,NA,-0.0993176362444655
A048302637,-0.194097817160323,-0.194097817160323,NA,0,NA,0.386174971499778
A048302801,-0.150789405395825,-0.150789405395825,NA,0,NA,NA
A048303261,-0.97740478642504,-0.97740478642504,NA,0,NA,NA
A048304031,0.0774093883891953,NA,0.0774093883891953,NA,1,0.08179450402682
A048305265,NA,NA,NA,NA,NA,NA
A052525850,-1.47157843777155,NA,-1.47157843777155,NA,0,-0.734476745669183
A052529313,0.997669358361209,NA,0.997669358361209,NA,1,-1.33184419346599
A052530595,1.38299412710064,1.38299412710064,NA,1,NA,0.541773304855647
A052538059,-0.100612396037782,NA,-0.100612396037782,NA,0,NA
A052545836,NA,NA,NA,NA,NA,0.325322889603201
A052552092,-0.285609397538959,-0.285609397538959,NA,0,NA,NA
A052553296,1.72572352818732,1.72572352818732,NA,1,NA,0.554679465599074
A052553589,1.09931382153471,1.09931382153471,NA,1,NA,-0.671505221614263
A052554317,1.61140169251763,NA,1.61140169251763,NA,1,0.300331837544669
A052555539,-0.733718095770023,-0.733718095770023,NA,0,NA,-0.593970796595254
A052556361,0.370046937498159,0.370046937498159,NA,1,NA,1.26902995712205
A052569537,1.5319615840469,1.5319615840469,NA,1,NA,-0.798322189763603
A052589120,-0.0809760580055015,-0.0809760580055015,NA,0,NA,1.34741037413083
A052589333,NA,NA,NA,NA,NA,1.49539982352752
A052592018,NA,NA,NA,NA,NA,0.783141022402577
A052597567,-1.00943521396967,-1.00943521396967,NA,0,NA,-2.1105602588985
A052598083,1.27551318719066,NA,1.27551318719066,NA,1,1.45307644004386
A052602081,-1.80145492545993,NA,-1.80145492545993,NA,0,1.12609199436118
A052609588,0.621846885751685,0.621846885751685,NA,1,NA,0.956920080536894
A052610048,0.302315783392537,NA,0.302315783392537,NA,1,1.09957121982339
A052616855,NA,NA,NA,NA,NA,0.326996032425611
A052618008,-0.59616675886252,NA,-0.59616675886252,NA,0,-0.749099115098312
A052619346,1.66584304122958,1.66584304122958,NA,1,NA,-0.211780245186522
A052619562,NA,NA,NA,NA,NA,NA
A052620834,-1.73365833464425,NA,-1.73365833464425,NA,0,-1.02697894241477
A052621017,1.17039021492803,NA,1.17039021492803,NA,1,NA
A052623359,0.439521526134516,NA,0.439521526134516,NA,1,1.76331070220233
A052623584,-0.362442644928216,-0.362442644928216,NA,0,NA,0.059527897888517
A052624066,0.77147483669107,NA,0.77147483669107,NA,1,-1.43507466274997
A052624514,0.92978527951523,NA,0.92978527951523,NA,1,-1.56711160280148
A052624782,NA,NA,NA,NA,NA,1.68612278668717
A052625275,NA,NA,NA,NA,NA,-2.26655012974837
A052628570,0.186856623368546,0.186856623368546,NA,1,NA,NA
A052629363,-2.03506859300615,NA,-2.03506859300615,NA,0,-0.0579386854198402
A052631282,-1.35131126590855,-1.35131126590855,NA,0,NA,0.58265349989456
A052634603,0.368143874545462,0.368143874545462,NA,1,NA,1.18805909975966
A052634623,0.963172440841231,0.963172440841231,NA,1,NA,NA
A052634816,0.554213669829316,NA,0.554213669829316,NA,1,0.0420539425265892
A052635259,-1.27151329901573,NA,-1.27151329901573,NA,0,-1.0377915995027
A052638360,1.9450160249536,1.9450160249536,NA,1,NA,-0.161729354447357
A052780082,0.89740368654767,0.89740368654767,NA,1,NA,0.136062146494553
A052781842,-1.02735078007661,-1.02735078007661,NA,0,NA,NA
A052781845,0.654536906960122,0.654536906960122,NA,1,NA,-0.80708024439245
A052782850,2.16358187390565,2.16358187390565,NA,1,NA,-0.571410343892921
A052787883,-0.805437297703727,-0.805437297703727,NA,0,NA,0.77240698566892
A052792353,-1.39230589477715,-1.39230589477715,NA,0,NA,1.01362967198767
A052795037,-1.19181617168139,-1.19181617168139,NA,0,NA,0.0977234443805215
A052796857,0.339752989249321,0.339752989249321,NA,1,NA,-0.358966362690093
A052798557,NA,NA,NA,NA,NA,0.811482554100986
A052799267,0.232290929833149,0.232290929833149,NA,1,NA,-0.747000446790636
A052799328,1.5262389977516,1.5262389977516,NA,1,NA,0.820334723796644
A052800382,-0.27451621636141,-0.27451621636141,NA,0,NA,NA
A052801541,1.36022458395678,1.36022458395678,NA,1,NA,2.59374558796471
A052808283,NA,NA,NA,NA,NA,0.473192358020854
A052811355,-1.18820723734378,NA,-1.18820723734378,NA,0,-1.87986424254028
A052812594,-0.513214308006654,NA,-0.513214308006654,NA,0,0.80708024439245
A052819094,-0.722132910622041,-0.722132910622041,NA,0,NA,0.394735670669397
A052828076,-0.715228137524002,-0.715228137524002,NA,0,NA,-1.43064617872782
A052838073,-0.371951341576551,NA,-0.371951341576551,NA,0,-1.28697998103729
